title,year
Kate & Leopold,2001
The Other Side of the Wind,2018
November 1828,2001
Abhimanyu,1991
El heroob,1991
Crime and Punishment,2002
Vita da cane,1992
Kadhalan,1994
Afganskiy izlom,1991
Le brasier,1991
Die Zimbern,1991
Da Jue Zhan II: Huai Hai Zhan Yi,1991
Da Jue Zhan III: Ping Jin Zhan Yi,1992
Disha,1992
Erfolg,1991
Flight of the Intruder,1991
A Idade Maior,1991
Jen o rodinných zálezitostech,1991
Palama Yata,1991
Panny i wdowy,1991
Perumthachan,1992
Poslední motýl,1991
La setta,1991
Sutoroberi rodo,1991
100 Days,1991
A unsprezecea porunca,1991
Agantuk,1991
Agnes Cecilia - En sällsam historia,1991
Ajooba,1991
Akayla,1991
L'amant,1992
Les amants du Pont-Neuf,1991
Amor e Dedinhos de Pé,1992
Der andere Blick,1991
Arthur Rimbaud - Une biographie,1991
At Play in the Fields of the Lord,1991
Au! Ograblenie poezda,1991
Aus heiterem Himmel,1991
L'avvoltoio può attendere,1991
Backdraft,1991
Barton Fink,1991
La Belle Noiseuse,1991
Divertimento,1992
Beta,1992
Bis ans Ende der Welt,1991
Bai Ho,1991
Boyz n the Hood,1991
Bugsy,1991
El bulto,1992
Cabeza de Vaca,1991
The Cabinet of Dr. Ramirez,1991
Cape Fear,1991
City Slickers,1991
City of Hope,1991
The Commitments,1991
Coolie No. 1,1995
Crooked Hearts,1991
Dà hóng denglong gaogao guà,1991
Dai yûkai,1991
Thalapathi,1991
Danzón,1991
The Dark Wind,1991
Deadly Currents,1991
Defending Your Life,1991
Dil Aashna Hai (...The Heart Knows),1992
Dil Hai Ki Manta Nahin,1991
A Divina Comédia,1991
The Doctor,1991
Dom pod zvyozdnym nebom,1991
La domenica specialmente,1991
The Doors,1991
Dozoku no ranjo,1991
Dream On,1991
Drengene fra Sankt Petri,1991
Dou baa,1991
Do haap II: Seung Hoi taam do sing,1991
Dying Young,1991
Eline Vere,1991
Les enfants du vent,1991
Les équilibristes,1991
Europa,1991
Face Value,1991
First Love Letter,1991
The Fisher King,1991
The Five Heartbeats,1991
For the Boys,1991
Frankie and Johnny,1991
Fried Green Tomatoes,1991
La Frontera,1991
Futari,1991
Gangstery v okeane,1991
Geniy,1991
Gizli Yüz,1991
Grand Canyon,1991
Gu ling jie shao nian sha ren shi jian,1991
Haque,1991
The Hard Way,1991
Hear My Song,1991
Hihintayin kita sa langit,1991
